gene,FPKM.refGTF_NoRad_CD24Pos_1,FPKM.refGTF_NoRad_CD24Pos_2,FPKM.refGTF_Rad_CD24Neg_3,FPKM.refGTF_Rad_CD24Neg_1,FPKM.refGTF_Rad_CD24Neg_2,FPKM.refGTF_Rad_CD24Pos_1,FPKM.refGTF_Rad_CD24Pos_2,FPKM.refGTF_Rad_CD24Pos_3
Setd1a,2.493537,4.246945,3.65584,5.794048,3.664706,3.692313,4.64016,4.483999
Setd1b,1.691365,2.623253,2.992427,4.661753,2.847771,2.367181,3.396764,2.265464
Setd2,3.881761,5.163421,5.306571,8.699328,5.986959,5.692064,5.956238,4.980105
Setd3,20.994755,28.106718,44.999611,52.332058,50.750591,27.485395,29.923695,29.908058
Setd4,0.335183,0.814026,1.274577,1.248628,1.010669,0.613126,0.905079,1.089023
Setd5,6.863595,14.04647,14.18187,16.948383,15.988791,13.036823,14.699577,12.216696
Setd6,2.510339,5.093568,3.978644,4.795524,3.663442,4.388687,4.851367,5.857483
Setd7,3.174485,3.868405,4.322525,5.981822,4.557273,4.674909,4.677614,4.002906
Setd8,25.167,29.194977,45.363659,62.620178,51.544155,32.072319,35.708553,33.237919
Setdb1,3.300127778,5.46089316,5.803835807,9.08769139,6.330803092,6.603288834,6.055340017,6.498672908
Setdb2,0.704307,1.870236,3.103609,3.130264,2.956622,1.27932,1.572796,1.650669
Setmar,0.67633602,1.290122698,2.120152422,2.032610258,1.697892054,1.117086978,1.366400802,1.476051929
Setx,1.85639,2.442388,3.086682,4.515871,3.40791,3.207807,2.95788,3.033372
Sez6,0,0,0.119468,0,0.023864755,0,0.070065,0.035087
Sez6l,0,0,0,0,0,0,0,0.008141
Sez6l2,0.364699166,0.416722,3.270613131,0.496472126,1.324799451,0.457621913,1.191164085,1.55141188
Sf1,8.508201633,17.45404946,18.86169143,26.34733128,20.86198352,15.63320028,19.52898436,18.8386395
Sf3a1,5.355072,10.080223,14.598703,18.725855,15.45429,9.603419,12.122245,12.459352
Sf3a2,3.919863,9.102766,11.592613,16.967148,13.051065,7.953126,11.177073,12.412805
Sf3a3,8.826947,18.308828,17.248621,24.224049,21.537586,16.185535,19.434355,23.990141
Sf3b1,14.636168,28.525026,28.74766,38.764175,33.008018,26.021559,27.512087,25.554092
Sf3b2,17.898722,32.58931,48.347717,56.626007,46.863438,31.383644,37.27351,39.797394
Sf3b3,13.478273,26.94644,19.956285,31.959518,27.36664,22.658981,28.623764,31.577967
Sf3b4,5.901392,12.920499,19.715059,26.158602,20.374432,11.511021,15.211359,15.614744
Sf3b5,6.429318,11.315327,20.68792,22.572689,26.493036,11.807217,17.833019,19.176872
Sf3b6,15.04818,27.499475,42.586452,49.716309,55.62315,25.101852,28.159588,32.698879
Sfi1,1.095036,2.418959,5.308014,4.054454,3.33087,2.174427,2.983064,2.808002
Sfmbt1,1.221270336,1.661449383,0.929734862,1.235378276,0.990990098,1.708110874,1.658674176,1.725647665
Sfmbt2,0.096982742,0.037185399,0,0.002607285,0.006281147,0.049893364,0.030964185,0.052673838
Sfn,4.460908,12.943619,124.902298,92.7827,80.762619,14.420455,19.163996,15.53967
Sfpq,17.26677181,30.0288806,29.96142388,50.31994941,37.82368646,33.25273245,36.04866099,40.35238092
Sfr1,10.945359,16.50094,21.689447,20.892296,21.036386,17.357822,17.195206,21.2118
Sfrp1,0,0,0.005493,0,0,0,0,0
Sfrp2,0,0,0,0,0.021556,0,0,0
Sfrp4,0,0,0,0,0,0,0,0
Sfrp5,1.645673,4.324935,0.665375,0.771496,1.872442,1.87772,2.516829,1.146284
Sfswap,2.069186,4.355855,5.435274,7.023627,4.552293,3.93274,4.280787,4.524182
Sft2d1,8.133642,14.689539,24.700712,26.161457,26.535662,11.428394,14.193977,12.609705
Sft2d2,23.998165,32.553459,51.479103,59.533958,53.107082,31.239079,29.883194,32.844093
Sft2d3,0.709772,1.151502,1.125419,1.30065,1.312587,1.131975,1.06225,1.14705
Sfta2,0.068659,0.322064,0.094515,0,0,0.189065,0,0
Sftpa1,0,0,0,0,0,0,0,0
Sftpb,0,0,0,0,0,0,0,0
Sftpc,0,0,0.089519,0,0,0,0,0
Sftpd,0,0,0.036101,0,0,0,0,0
Sfxn1,15.263354,24.576023,71.434418,87.544914,85.221077,23.563553,24.511595,21.986488
Sfxn2,1.856111,2.941667,1.994481,2.117882,1.540821,3.217761,2.875255,2.675534
Sfxn3,1.952202184,1.888229,1.82692545,1.287131,0.492982,2.323099655,2.202488529,2.308317671
Sfxn4,0.07303,0.062574,0.135695,0.107961,0.143176,0.091783,0.108616,0
Sfxn5,0.184631,0.298062,0.315672,0.182275,0.161205,0.260244,0.360092,0.492865
Sgca,0,0,0,0,0,0,0,0
Sgcb,0.582771,0.855162,1.210359,0.890098,0.987749,0.996846,1.348485,1.0273
Sgcd,0,0,0,0,0,0,0,0
Sgce,0.017591646,0,0,0,0,0,0,0
Sgcg,0,0,0,0,0,0,0,0
Sgcz,0,0,0,0,0,0,0,0
Sgip1,0,0,0,0,0,0,0,0
Sgk1,2.902643958,6.677315463,19.18846363,29.15805809,20.13682223,1.682255408,1.318148144,0.956166033
Sgk2,0.052691806,0.315361748,12.74769747,2.301747275,1.702902482,0.048212612,0.037137873,0.429897383
Sgk3,0.662149099,1.104323032,0.835026935,0.591518888,0.619079449,0.754669966,0.69544831,0.861566936
Sgms1,2.140891706,3.803958552,7.178408481,5.70070009,6.591899398,3.204157145,4.127870171,3.670810377
Sgms2,4.013227,5.012618,10.426119,10.845593,12.076154,4.878271,4.819799,4.066556
Sgol1,0.997464,1.816985,1.106654,3.053874,2.189984,2.014962,2.497357,3.011623
Sgol2,0.561000902,0.925901705,0.52721238,1.606834783,1.030811996,1.123960058,1.228300239,1.416730912
Sgpl1,8.214046,17.785889,107.965897,103.423515,95.8703,15.402091,12.814053,13.041414
Sgpp1,4.427253,6.0953,10.039598,13.895198,14.085936,4.837756,5.332662,4.57811
Sgpp2,7.683644,12.161972,41.349911,54.37674,43.618584,19.283699,18.948513,18.470871
Sgsh,1.669157,2.806366,3.724427,4.313991,4.047783,2.326663,3.026691,2.745397
Sgsm1,1.645254938,1.902298733,1.602783372,1.369383371,1.112944141,1.815880807,2.372037717,2.015375151
Sgsm2,1.429756,1.71774,2.555309,3.499869,2.367516,2.071364,2.154767,2.02495
Sgsm3,11.688229,21.067871,7.844691,10.588734,7.090194,14.100432,17.525919,17.566036
Sgta,9.033024,16.67985,49.679291,42.347069,42.579636,14.286369,18.31386,19.107443
Sgtb,0.729627,0.399265,0.326366,0.290954,0.242503,0.491087,0.521168,0.463586
Sh2b1,3.669884495,6.601601938,10.94222427,12.28681957,9.070984319,5.911799369,7.201650074,6.245281402
Sh2b2,0.015648,0.10867,0.021024,0.025147,0,0.040086,0.034687,0.034758
Sh2b3,1.354695,2.452517,5.714919,6.481693,6.257027,2.22213,2.73741,2.248062
Sh2d1a,0,0,0,0,0,0,0,0
Sh2d1b1,0,0,0,0.033466,0,0,0,0
Sh2d1b2,0,0,0,0,0,0,0,0
Sh2d2a,0.004622,0.029395,0,0.025099,0.024201,0,0,0
Sh2d3c,0.32458146,0.229320333,0.607741713,0.283613251,0.253296293,0.379849097,0.578315263,0.42780005
Sh2d4a,7.253689,10.767214,22.095301,30.196615,25.849035,12.355198,11.610859,11.040585
Sh2d4b,0,0.05372,0.092281,0.073764,0.044425,0,0.036259,0
Sh2d5,0.070731,0.111947,0.881407,0.136552,0.416604,0.135609,0.213384,0.326231
Sh2d7,3.493234,4.729422,0.072312,0.476519,0.130076,1.518741,2.469336,1.188265
