ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
198,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,0.2196078557,947.8941425,1.745098108,93.90588569,1.67E-05,0.07188640547,0.0001323447678,0.007121635499,0,0.07058823854,0,0.005228758324,0.0003050013724,0.0296720688,0.0008161252775,0.006249568082,1,10865,537.144,0.0002316797265,0.001841026365,0.09906790376,1.53E-09,0.00000001218083459,0.0000006554657615,0.0000000213234907,0.0000001694455928,0.000009118076738
11,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.02352941316,899.2222461,50.45621095,86.61699655,2.12E-06,0.08108406186,0.004549703422,0.007810369391,0,0.08104575425,0.001307189581,0.007843137719,9.12E-05,0.03808870789,0.006553960822,0.005810570857,1,8952,504.074,0.00002616640465,0.05611094607,0.09632434799,2.37E-10,0.0000005082331794,0.0000008724720052,0.000000002922967454,0.000006267978783,0.00001076009249
37,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,362.7019737,12502.91014,1261.239253,1093.003956,0.006108253317,0.2105611435,0.02124049332,0.01840724761,0,0.2143790871,0.01307189558,0.01568627544,0.01316798246,0.1141284453,0.02542862361,0.01605701195,1,53686,1281.198,0.02900940419,0.1008756553,0.08741996415,0.0000001137773967,0.00000039564306,0.0000003428686736,0.0000005403532427,0.000001878993691,0.000001628356818
39,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,865.2588501,5332.189685,194.6823591,465.6340024,0.02375257632,0.1463761306,0.005344305454,0.01278231038,0.01176470611,0.1424836665,0,0.01307189558,0.03119665731,0.07601542012,0.01223294964,0.008066785467,1,32794,788.92,0.1622708308,0.03651077148,0.08732510092,0.0000007242964054,0.0000001629659527,0.0000003897758851,0.000004948186582,0.000001113336936,0.000002662837742
40,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,29.09411895,7758.50478,205.2640589,670.575186,0.0005144848621,0.1371972552,0.003629779999,0.01185809347,0,0.1385620981,0,0.01045751665,0.002540111699,0.06355835029,0.009430033198,0.008555562189,1,51445,1161.574,0.003749964687,0.02645665173,0.08643098186,0.00000001000067766,0.00000007055651665,0.0000002305004077,0.00000007289269486,0.0000005142706139,0.000001680065737
56,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,23.69804024,2266.801367,211.8013136,166.0392213,0.001632771134,0.1561803339,0.01459289745,0.01143993533,0,0.1660130769,0.005228758324,0.01045751665,0.005109281226,0.09263860682,0.01994648339,0.006913814288,1,12270,480.864,0.01045439649,0.09343620342,0.07324824476,0.0000001330701821,0.000001189315196,0.0000009323500675,0.0000008520290535,0.000007615012504,0.0000059697021
68,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,7.00000034,4268.202728,525.601323,624.9228963,0.0001656099257,0.1009795289,0.01243497026,0.01478477563,0,0.09542483836,0,0.01307189558,0.001346562084,0.05362803192,0.0236383095,0.0103923157,1,37018,1265.332,0.001640034644,0.1231434766,0.1464135928,0.000000004473767511,0.0000003359168583,0.0000003993942306,0.00000004430370749,0.000003326583733,0.000003955199979
68,2,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,1.149019663,1783.862793,298.3751722,171.3594829,8.48E-05,0.1316309617,0.02201705816,0.01264458994,0,0.1006535962,0.005228758324,0.01307189558,0.0008916890201,0.09856950353,0.03407570073,0.006694490266,2,10969,607.506,0.000644118857,0.1672635213,0.09606090983,7.73E-09,0.000002007207417,0.000001152756855,0.00000005872174829,0.00001524874841,0.000008757490184
68,3,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,0.3450980578,960.6849934,68.36340091,128.2352985,3.23E-05,0.08980042937,0.006390297337,0.01198684787,0,0.08888889104,0,0.01045751665,0.000469402937,0.05599842787,0.01268613886,0.006716388568,3,8215,571.768,0.0003592208269,0.07116110002,0.133483191,3.93E-09,0.0000007778815991,0.000001459141554,0.00000004372742872,0.000008662337191,0.00001624871467
68,4,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,4.847059003,579.0078577,29.0339879,62.55425055,0.0008345487263,0.09969143556,0.004998964859,0.01077035994,0,0.08366013318,0,0.01045751665,0.005644596371,0.06830014986,0.008975573999,0.006232521519,4,4262,355.858,0.008371318175,0.0501443763,0.1080369631,0.0000001958115266,0.000001172915265,0.000002527067091,0.000001964176015,0.00001176545666,0.00002534888857
69,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,860.4706164,34448.32381,5802.568792,2520.860213,0.005453610194,0.2183313716,0.03677632648,0.01597705801,0,0.2235294133,0.02483660169,0.01307189558,0.01774211838,0.1272171705,0.03871432434,0.02840899031,1,146203,3400.978,0.02497859173,0.1684427035,0.07317802245,0.00000003730162988,0.0000002515428991,0.0000001092799601,0.0000001708486949,0.000001152115233,0.0000005005233986
76,1,DAY4,nan,0,2,0,WT,NOUV,zVAD,nan,389.4784448,5758.32695,860.487607,633.2157069,0.009349876243,0.138235235,0.02065699076,0.01520106844,0,0.1281045824,0.002614379162,0.01568627544,0.0172796763,0.0802234616,0.0366776872,0.007721145368,1,37344,1021.072,0.06763743152,0.1494336141,0.109965223,0.0000002503715789,0.0000005531542084,0.0000004070551746,0.00000181119943,0.000004001542793,0.000002944655713
